datetime,location,site,meas_type,staff,staff_unit,dep_to_bed,dep_to_water,adj_caprod,note
6/29/21 12:40,dh,dh1,tape,,,159.5,133.7,,
6/29/21 13:00,dh,dh1,tape,,,159.7,133.5,,
7/20/21 13:30,dh,dh1,tape,,,159.6,136.9,,
7/20/21 13:50,dh,dh1,tape,,,159.6,137,,
8/18/21 13:30,dh,dh1,tape,,,160.2,139.3,,
8/25/21 15:10,dh,dh1,tape,,,159.1,139.5,,
9/2/21 9:30,dh,dh1,tape,,,159.4,139.8,,
9/2/21 9:50,dh,dh1,tape,,,159.5,139.8,,
5/21/21 13:20,dh,dh1,tape,,,160.6,142.5,,
5/25/21 11:20,dh,dh1,tape,,,158.8,128.7,,
6/1/21 11:10,dh,dh1,tape,,,159.6,128.7,,
6/1/21 12:10,dh,dh1,tape,,,159.6,128.7,,
6/9/21 11:30,dh,dh1,tape,,,159.6,127,,
6/9/21 11:40,dh,dh1,tape,,,159.7,127,,